 === Starting experiment === 
 Reward condition: Left arm Better, Observation: [CENTER, No reward, Null]
[Step 0] Action: [Move to CUE LOCATION]
[Step 0] Observation: [CUE LOCATION,  No reward, Cue Left]
[Step 1] Action: [Move to LEFT ARM]
[Step 1] Observation: [LEFT ARM,  Reward!, Null]
[Step 2] Action: [Move to RIGHT ARM]
[Step 2] Observation: [RIGHT ARM,  Loss!, Null]
[Step 3] Action: [Move to LEFT ARM]
[Step 3] Observation: [LEFT ARM,  Reward!, Null]
[Step 4] Action: [Move to LEFT ARM]
[Step 4] Observation: [LEFT ARM,  Reward!, Null]
[Step 5] Action: [Move to LEFT ARM]
[Step 5] Observation: [LEFT ARM,  Reward!, Null]
[Step 6] Action: [Move to LEFT ARM]
[Step 6] Observation: [LEFT ARM,  Reward!, Null]
[Step 7] Action: [Move to LEFT ARM]
[Step 7] Observation: [LEFT ARM,  Reward!, Null]
[Step 8] Action: [Move to LEFT ARM]
[Step 8] Observation: [LEFT ARM,  Reward!, Null]
[Step 9] Action: [Move to LEFT ARM]
[Step 9] Observation: [LEFT ARM,  Reward!, Null]
[Step 10] Action: [Move to LEFT ARM]
[Step 10] Observation: [LEFT ARM,  Reward!, Null]
[Step 11] Action: [Move to LEFT ARM]
[Step 11] Observation: [LEFT ARM,  Reward!, Null]
[Step 12] Action: [Move to LEFT ARM]
[Step 12] Observation: [LEFT ARM,  Reward!, Null]
[Step 13] Action: [Move to LEFT ARM]
[Step 13] Observation: [LEFT ARM,  Reward!, Null]
[Step 14] Action: [Move to LEFT ARM]
[Step 14] Observation: [LEFT ARM,  Reward!, Null]
[Step 15] Action: [Move to LEFT ARM]
[Step 15] Observation: [LEFT ARM,  Reward!, Null]
[Step 16] Action: [Move to LEFT ARM]
[Step 16] Observation: [LEFT ARM,  Reward!, Null]
[Step 17] Action: [Move to LEFT ARM]
[Step 17] Observation: [LEFT ARM,  Reward!, Null]
[Step 18] Action: [Move to LEFT ARM]
[Step 18] Observation: [LEFT ARM,  Reward!, Null]
[Step 19] Action: [Move to LEFT ARM]
[Step 19] Observation: [LEFT ARM,  Reward!, Null]
[Step 20] Action: [Move to LEFT ARM]
[Step 20] Observation: [LEFT ARM,  Reward!, Null]
[Step 21] Action: [Move to LEFT ARM]
[Step 21] Observation: [LEFT ARM,  Reward!, Null]
[Step 22] Action: [Move to LEFT ARM]
[Step 22] Observation: [LEFT ARM,  Reward!, Null]
[Step 23] Action: [Move to LEFT ARM]
[Step 23] Observation: [LEFT ARM,  Reward!, Null]
[Step 24] Action: [Move to LEFT ARM]
[Step 24] Observation: [LEFT ARM,  Loss!, Null]
[Step 25] Action: [Move to LEFT ARM]
[Step 25] Observation: [LEFT ARM,  Reward!, Null]
[Step 26] Action: [Move to LEFT ARM]
[Step 26] Observation: [LEFT ARM,  Reward!, Null]
[Step 27] Action: [Move to LEFT ARM]
[Step 27] Observation: [LEFT ARM,  Reward!, Null]
[Step 28] Action: [Move to LEFT ARM]
[Step 28] Observation: [LEFT ARM,  Reward!, Null]
[Step 29] Action: [Move to LEFT ARM]
[Step 29] Observation: [LEFT ARM,  Reward!, Null]
[Step 30] Action: [Move to LEFT ARM]
[Step 30] Observation: [LEFT ARM,  Reward!, Null]
[Step 31] Action: [Move to LEFT ARM]
[Step 31] Observation: [LEFT ARM,  Reward!, Null]
[Step 32] Action: [Move to LEFT ARM]
[Step 32] Observation: [LEFT ARM,  Reward!, Null]
[Step 33] Action: [Move to LEFT ARM]
[Step 33] Observation: [LEFT ARM,  Reward!, Null]
[Step 34] Action: [Move to LEFT ARM]
[Step 34] Observation: [LEFT ARM,  Reward!, Null]
[Step 35] Action: [Move to LEFT ARM]
[Step 35] Observation: [LEFT ARM,  Reward!, Null]
[Step 36] Action: [Move to LEFT ARM]
[Step 36] Observation: [LEFT ARM,  Reward!, Null]
[Step 37] Action: [Move to LEFT ARM]
[Step 37] Observation: [LEFT ARM,  Loss!, Null]
[Step 38] Action: [Move to LEFT ARM]
[Step 38] Observation: [LEFT ARM,  Loss!, Null]
[Step 39] Action: [Move to LEFT ARM]
[Step 39] Observation: [LEFT ARM,  Loss!, Null]
[Step 40] Action: [Move to LEFT ARM]
[Step 40] Observation: [LEFT ARM,  Reward!, Null]
[Step 41] Action: [Move to LEFT ARM]
[Step 41] Observation: [LEFT ARM,  Reward!, Null]
[Step 42] Action: [Move to LEFT ARM]
[Step 42] Observation: [LEFT ARM,  Reward!, Null]
[Step 43] Action: [Move to LEFT ARM]
[Step 43] Observation: [LEFT ARM,  Reward!, Null]
[Step 44] Action: [Move to LEFT ARM]
[Step 44] Observation: [LEFT ARM,  Reward!, Null]
[Step 45] Action: [Move to LEFT ARM]
[Step 45] Observation: [LEFT ARM,  Loss!, Null]
[Step 46] Action: [Move to LEFT ARM]
[Step 46] Observation: [LEFT ARM,  Reward!, Null]
[Step 47] Action: [Move to LEFT ARM]
[Step 47] Observation: [LEFT ARM,  Reward!, Null]
[Step 48] Action: [Move to LEFT ARM]
[Step 48] Observation: [LEFT ARM,  Loss!, Null]
[Step 49] Action: [Move to LEFT ARM]
[Step 49] Observation: [LEFT ARM,  Reward!, Null]
[Step 50] Action: [Move to LEFT ARM]
[Step 50] Observation: [LEFT ARM,  Reward!, Null]
[Step 51] Action: [Move to LEFT ARM]
[Step 51] Observation: [LEFT ARM,  Reward!, Null]
[Step 52] Action: [Move to LEFT ARM]
[Step 52] Observation: [LEFT ARM,  Reward!, Null]
[Step 53] Action: [Move to LEFT ARM]
[Step 53] Observation: [LEFT ARM,  Reward!, Null]
[Step 54] Action: [Move to LEFT ARM]
[Step 54] Observation: [LEFT ARM,  Reward!, Null]
[Step 55] Action: [Move to LEFT ARM]
[Step 55] Observation: [LEFT ARM,  Reward!, Null]
[Step 56] Action: [Move to LEFT ARM]
[Step 56] Observation: [LEFT ARM,  Reward!, Null]
[Step 57] Action: [Move to LEFT ARM]
[Step 57] Observation: [LEFT ARM,  Reward!, Null]
[Step 58] Action: [Move to LEFT ARM]
[Step 58] Observation: [LEFT ARM,  Reward!, Null]
[Step 59] Action: [Move to LEFT ARM]
[Step 59] Observation: [LEFT ARM,  Loss!, Null]
[Step 60] Action: [Move to LEFT ARM]
[Step 60] Observation: [LEFT ARM,  Loss!, Null]
[Step 61] Action: [Move to LEFT ARM]
[Step 61] Observation: [LEFT ARM,  Reward!, Null]
[Step 62] Action: [Move to LEFT ARM]
[Step 62] Observation: [LEFT ARM,  Reward!, Null]
[Step 63] Action: [Move to LEFT ARM]
[Step 63] Observation: [LEFT ARM,  Reward!, Null]
