t,location,reward,cue,action
0,CUE LOCATION,No reward,Cue Right,Move to CUE LOCATION
1,LEFT ARM,Loss!,Null,Move to LEFT ARM
2,LEFT ARM,Loss!,Null,Move to LEFT ARM
3,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
4,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
5,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
6,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
7,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
8,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
9,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
10,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
11,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
12,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
13,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
14,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
15,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
16,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
17,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
18,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
19,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
20,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
21,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
22,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
23,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
24,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
25,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
26,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
27,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
28,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
29,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
30,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
31,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
32,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
33,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
34,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
35,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
36,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
37,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
38,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
39,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
40,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
41,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
42,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
43,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
44,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
45,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
46,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
47,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
48,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
49,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
50,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
51,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
52,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
53,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
54,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
55,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
56,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
57,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
58,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
59,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
60,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
61,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
62,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
63,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
64,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
65,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
66,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
67,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
68,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
69,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
70,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
71,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
72,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
73,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
74,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
75,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
76,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
77,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
78,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
79,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
80,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
81,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
82,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
83,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
84,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
85,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
86,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
87,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
88,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
89,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
90,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
91,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
92,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
93,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
94,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
95,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
96,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
97,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
98,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
99,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
100,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
101,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
102,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
103,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
104,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
105,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
106,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
107,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
108,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
109,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
110,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
111,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
112,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
113,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
114,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
115,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
116,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
117,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
118,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
119,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
120,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
121,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
122,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
123,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
124,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
125,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
126,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
127,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
128,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
129,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
130,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
131,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
132,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
133,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
134,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
135,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
136,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
137,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
138,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
139,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
140,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
141,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
142,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
143,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
144,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
145,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
146,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
147,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
148,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
149,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
150,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
151,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
152,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
153,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
154,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
155,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
156,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
157,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
158,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
159,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
160,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
161,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
162,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
163,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
164,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
165,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
166,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
167,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
168,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
169,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
170,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
171,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
172,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
173,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
174,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
175,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
176,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
177,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
178,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
179,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
180,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
181,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
182,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
183,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
184,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
185,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
186,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
187,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
188,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
189,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
190,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
191,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
192,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
193,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
194,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
195,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
196,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
197,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
198,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
199,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
200,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
201,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
202,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
203,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
204,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
205,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
206,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
207,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
208,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
209,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
210,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
211,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
212,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
213,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
214,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
215,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
216,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
217,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
218,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
219,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
220,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
221,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
222,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
223,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
224,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
225,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
226,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
227,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
228,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
229,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
230,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
231,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
232,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
233,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
234,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
235,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
236,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
237,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
238,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
239,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
240,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
241,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
242,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
243,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
244,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
245,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
246,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
247,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
248,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
249,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
250,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
251,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
252,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
253,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
254,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
255,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
256,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
257,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
258,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
259,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
260,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
261,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
262,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
263,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
264,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
265,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
266,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
267,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
268,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
269,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
270,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
271,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
272,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
273,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
274,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
275,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
276,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
277,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
278,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
279,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
280,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
281,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
282,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
283,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
284,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
285,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
286,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
287,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
288,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
289,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
290,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
291,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
292,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
293,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
294,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
295,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
296,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
297,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
298,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
299,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
300,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
301,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
302,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
303,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
304,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
305,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
306,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
307,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
308,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
309,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
310,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
311,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
312,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
313,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
314,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
315,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
316,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
317,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
318,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
319,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
320,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
321,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
322,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
323,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
324,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
325,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
326,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
327,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
328,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
329,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
330,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
331,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
332,RIGHT ARM,Reward!,Null,Move to RIGHT ARM
333,RIGHT ARM,Loss!,Null,Move to RIGHT ARM
